name,id
Alliot-Marie,1179
Andrikienė,28276
Arimont,24922
Bach,97293
Becker,107041
Belet,28257
Bendtsen,96705
Bogovič,125004
Buzek,28269
vandeCamp,96754
Casa,28122
Caspary,28219
delCastilloVera,28390
Christoforou,26837
Cicu,124854
Coelho,1892
Collin-Langen,112788
Comi,96775
Danjean,96747
Dantin,97296
Dati,72775
Delahaye,124732
Deli,124714
Deß,28228
DíazdeMeraGarcíaConsuegra,28397
Dorfmann,96787
Ehler,28226
Engel,96876
EstaràsFerragut,96811
Faria,125101
Ferber,1917
Fernandes,96899
Florenz,1038
Gambús,125006
Gardini,58758
Gieseke,124807
GonzálezPons,125027
deGrandesPascual,28393
Gräßle,28220
Grossetête,2025
Grzyb,23785
Hetman,124895
Hohlmeier,96780
Hökmark,28124
Hortefeux,5565
Hübner,96779
Iturgaiz,28398
Jahr,96772
Jazłowiecka,96781
Jiménez-BecerrilBarrio,96806
Joulaud,124728
Juvin,96884
Kalinowski,96771
Karas,4246
Kariņš,96901
Kefalogiannis,125068
Kelam,28424
Koch,1852
Kósa,96829
Kovatchev,97968
Kozłowska-Rajewicz,124889
Kuhn,96767
Kukan,96651
Kyrtsos,125063
Lamassoure,1204
deLange,38398
Langen,1928
Lavrilleux,124731
Lenaers,95074
Lewandowski,23781
Lins,124808
López-IstúrizWhite,28399
McAllister,124806
Maletić,119436
Malinov,111027
Mann,1922
Marinescu,33982
Martusciello,124828
Mato,96936
Maullu,133326
Melo,96978
Metsola,118859
Mikolášik,28178
MillánMon,28400
MonteirodeAguiar,124734
Morano,72779
Morin-Chartier,38596
Mureşan,124802
Niebler,4289
Niedermayer,124701
vanNistelrooij,28165
Novakov,107212
Olbrycht,28288
Pabriks,124743
Peterle,23693
Petir,124749
Pieper,28224
Plura,124881
Polčák,124704
Ponga,96931
Preda,96838
Proust,108080
Quisthoudt-Rowohl,1055
Radev,124850
Rangel,96903
Reding,1185
Ribeiro,124733
Rolin,125107
Ruas,124730
Rübig,2278
SalafrancaSánchez-Neyra,2002
Salini,125670
Sander,24594
Saudargas,96696
Schmidt,125016
Schöpflin,28135
Schreijer-Pierik,125030
Schulze,124809
Schwab,28223
Siekierski,23787
Sógor,39724
Sommer,4282
Štefanec,124929
Štětina,124702
Stolojan,39721
Šulin,125103
Svoboda,96272
Szájer,23821
Szejnfeld,124890
Thunund Hohenstein,96776
Tolić,185340
Tomc,125104
Ţurcanu,131750
Ungureanu,96835
Urutchev,38601
Vaidere,28617
ValcárcelSiso,125032
Vălean,37324
Verheyen,96756
Virkkunen,124726
Voss,96761
Wałęsa,96774
WeberManfred,28229
Wenta,124903
Wieland,2323
WinklerHermann,96764
Winkler,39725
Záborská,23894
Zagorakis,125067
Zammit Dimech,188906
Zdechovský,124713
Zdrojewski,124893
Zeller,96762
Zovko,185341
Zver,96933
Zwiefka,28301
Arthuis,124773
Cavada,28206
Riquet,96885
Rochefort,97022
Uspaskich,96698
Karlsson,124876
Marias,125069
Bergeron,124740
James,124939
Voigt,124832
